CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
    기타,84,82,84,86,78,79,82,85,83,83,70,68,69,70,73,85,104,119,107,107,100,95,99,99,89,92,92,90,92,86,83,82,74,79,72,70,75,74,74,79,76,75,72,68,75,77,78,80,83,77,59,53,58,61,61,71,54,70,74,66,72,72,74,78,85,96,84,81,79,90,90,84,87,88,94,94,96,90,78,79,81,77,71,75,72,73,76,80,83,87,91,90,86,84,87,91,90,91,92,91,90,90,93,91,89,88,86,72,72,77
    100만원미만,84,79,82,83,74,75,81,80,83,79,67,64,61,69,71,81,100,115,102,106,97,93,100,99,93,97,86,94,92,88,83,86,82,80,74,70,77,79,75,82,75,78,74,71,79,82,79,80,85,79,60,53,66,68,63,69,55,68,75,65,70,73,70,75,82,90,81,81,78,87,89,81,79,87,94,91,92,85,79,81,80,81,72,76,74,74,76,78,82,88,91,88,87,85,90,88,90,87,89,91,85,89,90,90,84,89,88,79,76,78
    100-200만원,81,82,82,82,80,83,83,87,81,81,72,73,71,69,73,83,99,112,101,101,94,92,96,95,85,86,85,87,86,85,82,77,73,74,72,71,74,72,76,76,79,75,72,68,70,76,78,79,85,75,63,52,61,62,63,68,56,65,71,62,69,69,75,77,80,93,79,77,75,89,87,80,87,88,89,89,96,89,73,74,80,76,71,75,71,72,72,75,78,80,88,85,80,81,81,86,88,81,83,85,85,86,85,81,83,81,79,66,65,74
    200-300만원,74,73,79,80,71,70,73,80,76,75,68,66,68,69,73,83,110,114,104,105,95,95,102,98,91,89,91,90,93,89,82,81,76,80,73,74,79,80,78,83,77,78,76,73,77,80,84,82,89,78,62,61,62,66,62,68,62,73,77,71,75,75,79,81,88,99,83,81,85,90,95,89,91,90,92,95,93,88,77,78,81,78,71,76,68,70,74,78,83,82,87,84,79,80,76,82,84,84,84,84,81,83,86,82,83,81,81,69,72,76
    300-400만원,78,82,75,81,73,74,75,82,81,80,69,71,72,70,77,88,113,126,114,114,104,103,107,105,94,96,95,97,95,93,89,84,76,77,78,74,75,78,79,81,79,79,77,75,79,78,83,81,83,83,64,56,60,61,62,69,57,74,81,72,80,76,81,83,91,101,83,85,86,93,95,88,91,92,93,93,95,86,73,76,80,71,68,75,68,68,73,73,77,82,85,85,79,78,78,82,86,85,85,86,82,85,86,84,84,86,79,66,70,72
    400-500만원,73,77,79,84,73,77,76,82,83,81,68,68,68,72,78,88,120,125,115,112,104,104,108,104,96,97,99,97,101,98,94,92,84,85,78,79,82,82,84,87,81,81,81,74,83,83,87,88,91,82,65,58,59,64,64,72,61,77,87,77,82,87,91,93,96,106,90,89,89,94,102,93,93,94,93,92,95,85,66,73,74,69,63,68,66,68,69,75,77,79,84,83,73,77,76,81,84,84,85,87,82,84,85,82,83,83,78,63,70,73
    500만원이상,75,76,78,82,72,76,76,84,80,80,68,66,69,70,79,87,120,126,116,112,105,100,107,104,97,96,98,98,101,96,89,87,79,80,74,75,78,81,81,86,83,80,80,79,79,83,86,86,91,85,67,60,67,66,68,76,63,79,89,81,88,88,91,93,98,111,94,91,95,99,102,93,97,97,96,98,95,86,62,64,70,64,59,63,61,67,65,72,76,81,81,82,76,76,74,77,81,82,82,84,83,84,87,82,82,83,77,62,68,74
    자가,78,79,80,82,74,76,76,83,81,79,68,67,69,70,75,86,113,121,111,109,100,99,104,102,93,93,94,94,96,93,87,85,77,79,74,73,77,79,79,82,78,78,76,73,77,80,83,83,89,80,64,56,62,64,64,71,59,75,83,74,82,81,85,86,93,105,89,86,88,95,98,90,93,94,94,94,95,87,68,71,75,70,64,68,66,69,70,74,79,82,85,84,78,78,78,81,85,84,85,86,84,85,88,84,84,83,80,64,68,72
    임차 등,74,76,77,80,72,74,77,82,79,79,70,70,70,70,78,84,111,120,109,110,102,99,105,100,94,94,93,95,95,92,88,84,80,81,76,77,80,80,80,85,83,80,81,78,81,82,85,84,87,84,65,61,65,66,66,72,63,74,80,72,78,79,82,87,90,101,84,87,86,93,96,88,91,92,94,95,95,85,72,74,77,72,68,73,66,68,69,74,77,80,83,83,76,78,76,79,82,82,82,84,80,83,83,81,80,83,77,66,72,77
    서울,78,79,80,84,75,77,80,85,81,79,70,67,73,71,73,84,112,122,112,107,102,98,104,99,93,93,95,93,93,89,83,82,77,79,74,75,79,79,79,83,81,81,78,76,81,80,83,82,86,80,61,57,59,61,63,71,59,72,79,71,76,80,82,86,89,101,86,86,86,94,97,88,90,91,96,92,94,89,69,70,75,67,66,70,65,66,67,72,78,81,84,84,75,76,77,80,81,82,82,84,81,85,84,81,82,83,78,62,67,73
    6대광역시,74,78,76,79,71,74,73,79,78,76,67,65,65,68,74,85,112,117,109,108,99,96,101,101,92,91,91,91,94,90,84,83,79,81,76,75,77,79,80,82,81,78,77,74,79,81,84,84,90,82,66,56,63,67,65,72,62,75,84,75,81,80,83,87,92,103,89,88,89,94,97,91,93,93,93,95,95,86,68,72,75,74,66,70,64,69,71,73,76,81,83,82,75,78,76,79,84,85,83,87,83,84,86,84,84,83,78,68,71,74
    기타도시,77,78,80,82,74,75,77,84,82,81,69,70,70,71,79,86,114,123,111,111,102,101,106,103,94,95,95,97,98,96,91,87,78,78,75,74,78,79,79,84,79,78,77,74,77,82,84,84,88,82,65,59,65,65,65,71,60,75,83,74,82,81,86,86,93,105,87,85,87,95,98,89,93,94,93,95,95,85,70,73,77,70,65,70,67,69,70,75,79,81,85,85,80,79,78,82,85,83,84,85,83,85,87,83,83,84,80,65,70,74
